%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672899516020956,0.0,0.0,0.0,0.0,0.0,0.0
1473672899532590162,0.0,0.0,0.0,0.0,0.0,0.0
1473672899549307267,0.0,0.0,0.0,0.0,0.0,0.0
1473672899565900480,0.0,0.0,0.0,0.0,0.0,0.0
1473672899582637308,0.0,0.0,0.0,0.0,0.0,0.0
1473672899599254825,0.0,0.0,0.0,0.0,0.0,0.0
1473672899615928966,0.0,0.0,0.0,0.0,0.0,0.0
1473672899632571587,0.0,0.0,0.0,0.0,0.0,0.0
1473672899649242608,0.0,0.0,0.0,0.0,0.0,0.0
1473672899665904865,0.0,0.0,0.0,0.0,0.0,0.0
1473672899682582485,0.0,0.0,0.0,0.0,0.0,0.0
1473672899699265113,0.0,0.0,0.0,0.0,0.0,0.0
1473672899715899674,0.0,0.0,0.0,0.0,0.0,0.0
1473672899732599164,0.0,0.0,0.0,0.0,0.0,0.0
1473672899749260498,0.0,0.0,0.0,0.0,0.0,0.0
1473672899765955122,0.0,0.0,0.0,0.0,0.0,0.0
1473672899782601032,0.0,0.0,0.0,0.0,0.0,0.0
1473672899799272809,0.0,0.0,0.0,0.0,0.0,0.0
1473672899815965408,0.0,0.0,0.0,0.0,0.0,0.0
1473672899832589272,0.0,0.0,0.0,0.0,0.0,0.0
1473672899849267000,0.0,0.0,0.0,0.0,0.0,0.0
1473672899865922448,0.0,0.0,0.0,0.0,0.0,0.0
1473672899882640213,0.0,0.0,0.0,0.0,0.0,0.0
1473672899899190608,0.0,0.0,0.0,0.0,0.0,0.0
1473672899915939200,0.0,0.0,0.0,0.0,0.0,0.0
1473672899932596003,0.0,0.0,0.0,0.0,0.0,0.0
1473672899949283956,0.0,0.0,0.0,0.0,0.0,0.0
1473672899965979494,0.0,0.0,0.0,0.0,0.0,0.0
1473672899982614118,0.0,0.0,0.0,0.0,0.0,0.0
1473672899999333253,0.0,0.0,0.0,0.0,0.0,0.0
1473672900015913308,0.0,0.0,0.0,0.0,0.0,0.0
1473672900032630681,0.0,0.0,0.0,0.0,0.0,0.0
1473672900049216724,0.0,0.0,0.0,0.0,0.0,0.0
1473672900065950243,0.0,0.0,0.0,0.0,0.0,0.0
1473672900082585426,0.0,0.0,0.0,0.0,0.0,0.0
1473672900099246382,0.0,0.0,0.0,0.0,0.0,0.0
1473672900115935695,0.0,0.0,0.0,0.0,0.0,0.0
1473672900132567884,0.0,0.0,0.0,0.0,0.0,0.0
1473672900149250411,0.0,0.0,0.0,0.0,0.0,0.0
1473672900165875383,0.0,0.0,0.0,0.0,0.0,0.0
1473672900182605894,0.0,0.0,0.0,0.0,0.0,0.0
1473672900199227679,0.0,0.0,0.0,0.0,0.0,0.0
1473672900215916970,0.0,0.0,0.0,0.0,0.0,0.0
1473672900232540977,0.0,0.0,0.0,0.0,0.0,0.0
1473672900249254470,0.0,0.0,0.0,0.0,0.0,0.0
1473672900265919655,0.0,0.0,0.0,0.0,0.0,0.0
1473672900282533866,0.0,0.0,0.0,0.0,0.0,0.0
1473672900299272951,0.0,0.0,0.0,0.0,0.0,0.0
1473672900316007499,0.0,0.0,0.0,0.0,0.0,0.0
1473672900332636197,0.0,0.0,0.0,0.0,0.0,0.0
1473672900349250194,0.0,0.0,0.0,0.0,0.0,0.0
1473672900366081087,0.0,0.0,0.0,0.0,0.0,0.0
1473672900382574792,0.0,0.0,0.0,0.0,0.0,0.0
1473672900399250415,0.0,0.0,0.0,0.0,0.0,0.0
1473672900415920762,0.0,0.0,0.0,0.0,0.0,0.0
1473672900432637741,0.0,0.0,0.0,0.0,0.0,0.0
1473672900449263361,0.0,0.0,0.0,0.0,0.0,0.0
1473672900465968222,0.0,0.0,0.0,0.0,0.0,0.0
1473672900482581915,0.0,0.0,0.0,0.0,0.0,0.0
1473672900499287850,0.0,0.0,0.0,0.0,0.0,0.0
1473672900515935507,0.0,0.0,0.0,0.0,0.0,0.0
1473672900532669599,0.0,0.0,0.0,0.0,0.0,0.0
1473672900549413272,0.0,0.0,0.0,0.0,0.0,0.0
1473672900565966286,0.0,0.0,0.0,0.0,0.0,0.0
